scenario_id,variant,passed,decision_match_at_1,constraint_violation,ticket_field_accuracy,observed_primary_exception,expected_primary_exception,exception_match,fifo_break_justified,audit_complete,decision_status,recommended_truck,recommended_destination,fifo_break,rejected_count,tool_call_count,tool_call_success,tool_path,tool_error_count,planner_step_count,latency_ms_preprocess,latency_ms_model,latency_ms_rules,latency_ms_audit,latency_ms_total
B1_PUBLIC_TEST_FROZEN_001_S01_BASELINE,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_002_S02_RAIN_OPEN,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,5,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_003_S03_WET_LOAD,full,False,False,False,,SYSTEM_BLOCK,MANUAL_REVIEW_HINT,False,False,False,BLOCKED,,,False,0,0,False,,0,0,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_004_S04_CONVEYOR_DOWN,full,True,True,False,1.0,RESOURCE_UNAVAILABLE,RESOURCE_UNAVAILABLE,True,False,True,PREVIEW_READY,TRK-001,DST-ALT-01,False,2,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_005_S05_CONTRACT_PRIORITY,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-003,DST-COV-01,True,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_006_S06_DOCUMENT_BLOCK,full,True,True,False,1.0,DOCUMENT_BLOCK,DOCUMENT_BLOCK,True,False,True,REVIEW_REQUIRED,,,False,0,2,True,generate_audit_payload,0,1,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_007_S07_VEHICLE_INCOMPAT,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,True,True,PREVIEW_READY,TRK-002,DST-NARROW-01,True,1,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_008_S08_REDUCED_CAPACITY,full,True,True,False,1.0,NO_EXCEPTION,NO_EXCEPTION,True,False,True,PREVIEW_READY,TRK-001,DST-LOWCAP-01,False,0,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_009_S09_HUMAN_OVERRIDE,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,False,True,PREVIEW_READY,TRK-001,DST-COV-01,False,3,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_010_S10_FIFO_BREAK_JUSTIFIED,full,True,True,False,1.0,RAIN_ON_OPEN_DESTINATION,RAIN_ON_OPEN_DESTINATION,True,True,True,PREVIEW_READY,TRK-005,DST-COV-01,True,9,6,True,validate_hard_constraints>rank_candidates>generate_audit_payload,0,3,0,0,0,0,0
B1_PUBLIC_TEST_FROZEN_011_S11_IMAGE_ROTATED_WET_LOAD,full,False,False,False,,SYSTEM_BLOCK,MANUAL_REVIEW_HINT,False,False,False,BLOCKED,,,False,0,0,False,,0,0,0,0,0,0,0
