scenario_id,scenario_family,modality,perturbation_recipe,expected_decision,predicted_decision,decision_correct,primary_failure_type,failed_field,confidence,manual_review_flag,latency_ms_total,notes
B1_PUBLIC_TEST_FROZEN_001_S01_BASELINE,S01_BASELINE,txt,pt_br_abbreviation,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,12064,
B1_PUBLIC_TEST_FROZEN_002_S02_RAIN_OPEN,S02_RAIN_OPEN,txt,missing_field,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1903,
B1_PUBLIC_TEST_FROZEN_003_S03_WET_LOAD,S03_WET_LOAD,png,light_skew|low_resolution,None->None,REVIEW_REQUIRED,True,,,,True,2332,
B1_PUBLIC_TEST_FROZEN_004_S04_CONVEYOR_DOWN,S04_CONVEYOR_DOWN,txt,unknown_destination,TRK-001->DST-ALT-01,TRK-001->DST-ALT-01,True,,,,False,1750,
B1_PUBLIC_TEST_FROZEN_005_S05_CONTRACT_PRIORITY,S05_CONTRACT_PRIORITY,txt,blocked_resource,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1739,
B1_PUBLIC_TEST_FROZEN_006_S06_DOCUMENT_BLOCK,S06_DOCUMENT_BLOCK,txt,weather_load_conflict,None->None,REVIEW_REQUIRED,True,,,,True,1871,
B1_PUBLIC_TEST_FROZEN_007_S07_VEHICLE_INCOMPAT,S07_VEHICLE_INCOMPAT,txt,rotation_90,TRK-002->DST-NARROW-01,TRK-002->DST-NARROW-01,True,,,,False,1740,
B1_PUBLIC_TEST_FROZEN_008_S08_REDUCED_CAPACITY,S08_REDUCED_CAPACITY,txt,rotation_minus_90,TRK-001->DST-LOWCAP-01,TRK-001->DST-LOWCAP-01,True,,,,False,1738,
B1_PUBLIC_TEST_FROZEN_009_S09_HUMAN_OVERRIDE,S09_HUMAN_OVERRIDE,txt,light_skew,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1713,
B1_PUBLIC_TEST_FROZEN_010_S10_FIFO_BREAK_JUSTIFIED,S10_FIFO_BREAK_JUSTIFIED,txt,blur,TRK-005->DST-COV-01,TRK-005->DST-COV-01,True,,,,False,2052,
B1_PUBLIC_TEST_FROZEN_011_S11_IMAGE_ROTATED_WET_LOAD,S11_IMAGE_ROTATED_WET_LOAD,png,unknown_destination|rotation_90,None->None,REVIEW_REQUIRED,True,,,,True,1716,
B1_PUBLIC_TEST_FROZEN_012_S12_PDF_SCANNED_DOCUMENT_BLOCK,S12_PDF_SCANNED_DOCUMENT_BLOCK,pdf_scanned,blocked_resource|rotation_minus_90,None->None,REVIEW_REQUIRED,True,,,,True,1609,
B1_PUBLIC_TEST_FROZEN_013_S13_TRUCK_ID_NOT_IN_QUEUE,S13_TRUCK_ID_NOT_IN_QUEUE,txt,ocr_noise,None->None,REVIEW_REQUIRED,True,,,,True,1743,
B1_PUBLIC_TEST_FROZEN_014_S14_NOTE_RAIN_WEATHER_NONE_CONFLICT,S14_NOTE_RAIN_WEATHER_NONE_CONFLICT,txt,pt_br_abbreviation,None->None,REVIEW_REQUIRED,True,,,,True,1741,
B1_PUBLIC_TEST_FROZEN_015_S15_UNKNOWN_DESTINATION_IN_TICKET,S15_UNKNOWN_DESTINATION_IN_TICKET,txt,missing_field,None->None,REVIEW_REQUIRED,True,,,,True,1743,
B1_PUBLIC_TEST_FROZEN_016_S16_ALL_DESTINATIONS_BLOCKED,S16_ALL_DESTINATIONS_BLOCKED,txt,ticket_note_conflict,None->None,BLOCKED,True,,,,False,1664,
B1_PUBLIC_TEST_FROZEN_017_S17_OVERRIDE_INELIGIBLE_PAIR,S17_OVERRIDE_INELIGIBLE_PAIR,txt,unknown_destination,TRK-171->DST-COV-01,TRK-171->DST-COV-01,True,,,,False,1665,
B1_PUBLIC_TEST_FROZEN_018_S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,S18_OVERRIDE_ELIGIBLE_NON_TOP_PAIR,txt,blocked_resource,TRK-181->DST-COV-01,TRK-181->DST-COV-01,True,,,,False,1664,
B1_PUBLIC_TEST_FROZEN_019_S19_TIE_BREAK_EQUAL_SCORE,S19_TIE_BREAK_EQUAL_SCORE,txt,weather_load_conflict,TRK-071->DST-A-01,TRK-071->DST-A-01,True,,,,False,1619,
B1_PUBLIC_TEST_FROZEN_020_S20_LARGE_QUEUE_100_TRUCKS,S20_LARGE_QUEUE_100_TRUCKS,txt,rotation_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1897,
B1_PUBLIC_TEST_FROZEN_021_S01_BASELINE,S01_BASELINE,txt,rotation_minus_90,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1808,
B1_PUBLIC_TEST_FROZEN_022_S02_RAIN_OPEN,S02_RAIN_OPEN,txt,light_skew,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1875,
B1_PUBLIC_TEST_FROZEN_023_S04_CONVEYOR_DOWN,S04_CONVEYOR_DOWN,txt,blur,TRK-001->DST-ALT-01,TRK-001->DST-ALT-01,True,,,,False,1731,
B1_PUBLIC_TEST_FROZEN_024_S05_CONTRACT_PRIORITY,S05_CONTRACT_PRIORITY,txt,jpeg_compression,TRK-003->DST-COV-01,TRK-003->DST-COV-01,True,,,,False,1733,
B1_PUBLIC_TEST_FROZEN_025_S07_VEHICLE_INCOMPAT,S07_VEHICLE_INCOMPAT,txt,low_resolution,TRK-002->DST-NARROW-01,TRK-002->DST-NARROW-01,True,,,,False,1733,
B1_PUBLIC_TEST_FROZEN_026_S08_REDUCED_CAPACITY,S08_REDUCED_CAPACITY,txt,ocr_noise,TRK-001->DST-LOWCAP-01,TRK-001->DST-LOWCAP-01,True,,,,False,1723,
B1_PUBLIC_TEST_FROZEN_027_S09_HUMAN_OVERRIDE,S09_HUMAN_OVERRIDE,txt,pt_br_abbreviation,TRK-001->DST-COV-01,TRK-001->DST-COV-01,True,,,,False,1692,
B1_PUBLIC_TEST_FROZEN_028_S10_FIFO_BREAK_JUSTIFIED,S10_FIFO_BREAK_JUSTIFIED,txt,missing_field,TRK-005->DST-COV-01,TRK-005->DST-COV-01,True,,,,False,2026,
B1_PUBLIC_TEST_FROZEN_029_S16_ALL_DESTINATIONS_BLOCKED,S16_ALL_DESTINATIONS_BLOCKED,txt,ticket_note_conflict,None->None,BLOCKED,True,,,,False,1642,
